id,name,alcohol_by_volume,age,distillery_id,bottler_id,type_id
1655,Evan Williams Single Barrel 2006,43.30,9 Years,28,152,3
1656,Laphroaig PX,48.00,NAS,37,206,9
1657,Laphroaig Quarter Cask,48.00,NAS,37,206,9
1658,Laphroaig 18yr,48.00,18 Years,37,206,9
1659,Booker’s Big Man Small Batch (2015-01),64.35,7 Years,5,27,3
1660,Booker’s 2014-06,63.85,7 Years,5,27,3
1661,Booker’s Oven Buster (2015-04),63.50,6 Years,5,27,3
1662,Tyrconnell 10yr Sherry Cask,43.00,10 Years,80,196,7
1663,Old Rip Van Winkle,53.50,10 Years,9,52,3
1664,Lagavulin 16yr,43.00,16 Years,36,205,9
1665,Lagavulin 12yr,55.10,12 Years,36,205,9
1666,Auchentoshan Three Wood,43.00,NAS,189,16,9
1667,Journeyman Buggy Whip Wheat,45.00,NAS,241,187,1
1668,Compass Box Flaming Heart 15th Anniversary,48.90,NAS,62,85,9
1669,Highland Park 12,43.00,12 Years,29,158,9
1670,Glendronach 12yr,43.00,12 Years,77,133,9
1671,Aberlour 12yr Double Cask,40.00,12 Years,130,4,9
1672,The Balvenie 14yr Caribbean Cask,43.00,14 Years,227,21,9
1673,The Balvenie 12yr Doublewood,43.00,12 Years,227,21,9
1674,Ardbeg Uigedail,54.20,NAS,121,13,9
1675,Ardbeg 10,46.00,10 Years,121,13,9
1676,Ardbeg Corryvreckan,57.10,NAS,121,13,9
1677,Bruichladdich The Classic Laddie,50.00,NAS,8,50,9
